 === NPZ Ecosistem model integration ====================================
  time            phytoplankton   zooplankton     nitrate         total_N
   9.99999978E-03   2.99828798E-02   9.98884812E-03   2.82720848E-05   3.99999991E-02
   1.99999996E-02   2.99658906E-02   9.97770857E-03   5.64014517E-05   3.99999991E-02
   2.99999993E-02   2.99490318E-02   9.96658020E-03   8.43889793E-05   4.00000028E-02
   3.99999991E-02   2.99323015E-02   9.95546393E-03   1.12235561E-04   3.99999991E-02
   4.99999970E-02   2.99156997E-02   9.94435977E-03   1.39942058E-04   3.99999991E-02
   5.99999987E-02   2.98992246E-02   9.93326772E-03   1.67509337E-04   3.99999991E-02
   7.00000003E-02   2.98828762E-02   9.92218778E-03   1.94938271E-04   3.99999991E-02
   7.99999982E-02   2.98666526E-02   9.91111901E-03   2.22229690E-04   3.99999991E-02
   8.99999961E-02   2.98505537E-02   9.90006234E-03   2.49384437E-04   4.00000028E-02
   9.99999940E-02   2.98345797E-02   9.88901779E-03   2.76403356E-04   3.99999991E-02
  0.109999999       2.98187286E-02   9.87798534E-03   3.03287263E-04   4.00000028E-02
  0.119999997       2.98030004E-02   9.86696407E-03   3.30036972E-04   4.00000028E-02
  0.129999995       2.97873933E-02   9.85595491E-03   3.56653298E-04   3.99999991E-02
  0.140000001       2.97719073E-02   9.84495785E-03   3.83137056E-04   4.00000028E-02
  0.149999991       2.97565404E-02   9.83397290E-03   4.09489061E-04   4.00000028E-02
  0.159999996       2.97412928E-02   9.82299913E-03   4.35710070E-04   4.00000028E-02
  0.170000002       2.97261644E-02   9.81203746E-03   4.61800897E-04   4.00000028E-02
  0.179999992       2.97111534E-02   9.80108790E-03   4.87762300E-04   4.00000028E-02
  0.189999998       2.96962578E-02   9.79014952E-03   5.13595063E-04   4.00000028E-02
  0.199999988       2.96814796E-02   9.77922324E-03   5.39299916E-04   4.00000028E-02
  0.209999993       2.96668168E-02   9.76830907E-03   5.64877642E-04   4.00000028E-02
  0.219999999       2.96522677E-02   9.75740608E-03   5.90329000E-04   4.00000028E-02
  0.229999989       2.96378322E-02   9.74651519E-03   6.15654746E-04   4.00000028E-02
  0.239999995       2.96235103E-02   9.73563641E-03   6.40855578E-04   3.99999991E-02
  0.250000000       2.96093002E-02   9.72476881E-03   6.65932253E-04   4.00000028E-02
  0.259999990       2.95952018E-02   9.71391331E-03   6.90885528E-04   3.99999991E-02
  0.269999981       2.95812152E-02   9.70306899E-03   7.15716102E-04   4.00000028E-02
  0.280000001       2.95673385E-02   9.69223678E-03   7.40424672E-04   3.99999991E-02
  0.289999992       2.95535717E-02   9.68141668E-03   7.65011937E-04   3.99999991E-02
  0.299999982       2.95399129E-02   9.67060775E-03   7.89478654E-04   3.99999991E-02
  0.310000002       2.95263641E-02   9.65981092E-03   8.13825463E-04   4.00000028E-02
  0.319999993       2.95129213E-02   9.64902528E-03   8.38053063E-04   3.99999991E-02
  0.329999983       2.94995867E-02   9.63825174E-03   8.62162153E-04   4.00000028E-02
  0.340000004       2.94863582E-02   9.62748937E-03   8.86153430E-04   4.00000028E-02
  0.349999994       2.94732340E-02   9.61673912E-03   9.10027535E-04   4.00000028E-02
  0.359999985       2.94602159E-02   9.60600004E-03   9.33785166E-04   4.00000028E-02
  0.370000005       2.94473004E-02   9.59527306E-03   9.57426964E-04   3.99999991E-02
  0.379999995       2.94344891E-02   9.58455727E-03   9.80953570E-04   4.00000028E-02
  0.389999986       2.94217803E-02   9.57385357E-03   1.00436574E-03   3.99999991E-02
  0.399999976       2.94091739E-02   9.56316106E-03   1.02766405E-03   3.99999954E-02
  0.409999996       2.93966699E-02   9.55248065E-03   1.05084910E-03   3.99999991E-02
  0.419999987       2.93842666E-02   9.54181142E-03   1.07392156E-03   4.00000028E-02
