 === NPZ Ecosistem model integration ====================================
  time            phytoplankton   zooplankton     nitrate         total_N
   9.99999978E-03   1.49855232      0.100159071       1.28860469E-03   1.60000002    
   1.99999996E-02   1.49737155      0.100318216       2.31017219E-03   1.59999990    
   2.99999993E-02   1.49639714      0.100477472       3.12534627E-03   1.59999990    
   3.99999991E-02   1.49558389      0.100636862       3.77915939E-03   1.59999990    
   4.99999970E-02   1.49489784      0.100796409       4.30570589E-03   1.60000002    
   5.99999987E-02   1.49431264      0.100956120       4.73118899E-03   1.59999990    
   7.00000003E-02   1.49380791      0.101116017       5.07598557E-03   1.59999990    
   7.99999982E-02   1.49336767      0.101276100       5.35609061E-03   1.59999990    
   8.99999961E-02   1.49297929      0.101436384       5.58415288E-03   1.59999979    
   9.99999940E-02   1.49263275      0.101596877       5.77023439E-03   1.59999979    
  0.109999999       1.49231994      0.101757579       5.92237758E-03   1.59999990    
  0.119999997       1.49203432      0.101918496       6.04703650E-03   1.59999979    
  0.129999995       1.49177086      0.102079630       6.14940608E-03   1.59999990    
  0.140000001       1.49152529      0.102240987       6.23367820E-03   1.60000002    
  0.149999991       1.49129415      0.102402568       6.30324241E-03   1.59999990    
  0.159999996       1.49107468      0.102564380       6.36084517E-03   1.59999990    
  0.170000002       1.49086475      0.102726415       6.40871283E-03   1.59999990    
  0.179999992       1.49066257      0.102888681       6.44865446E-03   1.59999990    
  0.189999998       1.49046659      0.103051178       6.48213970E-03   1.59999990    
  0.199999988       1.49027562      0.103213906       6.51036436E-03   1.59999990    
  0.209999993       1.49008870      0.103376873       6.53430168E-03   1.59999990    
  0.219999999       1.48990512      0.103540070       6.55474421E-03   1.59999990    
  0.229999989       1.48972404      0.103703499       6.57233782E-03   1.59999990    
  0.239999995       1.48954511      0.103867166       6.58760825E-03   1.59999990    
  0.250000000       1.48936784      0.104031071       6.60098484E-03   1.59999990    
  0.259999990       1.48919189      0.104195207       6.61281776E-03   1.59999990    
  0.269999981       1.48901689      0.104359582       6.62339153E-03   1.59999990    
  0.280000001       1.48884273      0.104524195       6.63293945E-03   1.59999979    
  0.289999992       1.48866916      0.104689047       6.64165150E-03   1.59999979    
  0.299999982       1.48849607      0.104854137       6.64968276E-03   1.59999990    
  0.310000002       1.48832321      0.105019465       6.65715942E-03   1.59999979    
  0.319999993       1.48815060      0.105185032       6.66418485E-03   1.59999979    
  0.329999983       1.48797810      0.105350837       6.67084334E-03   1.59999979    
  0.340000004       1.48780572      0.105516881       6.67720335E-03   1.59999979    
  0.349999994       1.48763335      0.105683163       6.68332120E-03   1.59999990    
  0.359999985       1.48746085      0.105849683       6.68924302E-03   1.59999979    
  0.370000005       1.48728836      0.106016442       6.69500651E-03   1.59999979    
  0.379999995       1.48711574      0.106183447       6.70064148E-03   1.59999979    
  0.389999986       1.48694301      0.106350690       6.70617353E-03   1.59999979    
  0.399999976       1.48677003      0.106518172       6.71162317E-03   1.59999979    
  0.409999996       1.48659694      0.106685899       6.71700668E-03   1.59999979    
  0.419999987       1.48642361      0.106853865       6.72233757E-03   1.59999979    
  0.429999977       1.48625016      0.107022077       6.72762748E-03   1.59999979    
  0.439999998       1.48607647      0.107190527       6.73288479E-03   1.59999990    
  0.449999988       1.48590255      0.107359223       6.73811743E-03   1.59999979    
  0.459999979       1.48572838      0.107528158       6.74333144E-03   1.59999990    
  0.469999999       1.48555398      0.107697338       6.74853195E-03   1.59999990    
  0.479999989       1.48537934      0.107866764       6.75372267E-03   1.59999979    
  0.489999980       1.48520446      0.108036429       6.75890688E-03   1.59999979    
  0.500000000       1.48502934      0.108206339       6.76408736E-03   1.59999979    
  0.509999990       1.48485398      0.108376496       6.76926645E-03   1.59999979    
  0.519999981       1.48467839      0.108546898       6.77444600E-03   1.59999967    
  0.529999971       1.48450255      0.108717538       6.77962741E-03   1.59999979    
  0.539999962       1.48432648      0.108888425       6.78481208E-03   1.59999967    
  0.550000012       1.48415017      0.109059557       6.79000095E-03   1.59999979    
  0.560000002       1.48397362      0.109230936       6.79519447E-03   1.59999967    
  0.569999993       1.48379683      0.109402560       6.80039357E-03   1.59999979    
  0.579999983       1.48361981      0.109574430       6.80559874E-03   1.59999990    
  0.589999974       1.48344243      0.109746546       6.81081042E-03   1.59999979    
  0.599999964       1.48326480      0.109918907       6.81602908E-03   1.59999979    
  0.610000014       1.48308694      0.110091515       6.82125520E-03   1.59999979    
  0.620000005       1.48290884      0.110264376       6.82648877E-03   1.59999979    
  0.629999995       1.48273051      0.110437483       6.83173025E-03   1.59999979    
  0.639999986       1.48255193      0.110610835       6.83697965E-03   1.59999979    
  0.649999976       1.48237312      0.110784434       6.84223697E-03   1.59999979    
  0.659999967       1.48219395      0.110958286       6.84750220E-03   1.59999979    
  0.669999957       1.48201454      0.111132383       6.85277581E-03   1.59999967    
  0.680000007       1.48183489      0.111306727       6.85805781E-03   1.59999967    
  0.689999998       1.48165500      0.111481324       6.86334865E-03   1.59999967    
  0.699999988       1.48147488      0.111656167       6.86864788E-03   1.59999967    
  0.709999979       1.48129451      0.111831263       6.87395548E-03   1.59999979    
  0.719999969       1.48111391      0.112006605       6.87927147E-03   1.59999990    
  0.729999959       1.48093295      0.112182200       6.88459631E-03   1.59999967    
  0.740000010       1.48075175      0.112358049       6.88992999E-03   1.59999979    
  0.750000000       1.48057032      0.112534143       6.89527206E-03   1.59999979    
  0.759999990       1.48038864      0.112710491       6.90062298E-03   1.59999979    
  0.769999981       1.48020673      0.112887092       6.90598227E-03   1.59999990    
  0.779999971       1.48002446      0.113063939       6.91135088E-03   1.59999979    
  0.789999962       1.47984195      0.113241039       6.91672787E-03   1.59999979    
  0.799999952       1.47965920      0.113418393       6.92211371E-03   1.59999967    
  0.810000002       1.47947621      0.113596000       6.92750840E-03   1.59999967    
  0.819999993       1.47929299      0.113773860       6.93291193E-03   1.59999967    
  0.829999983       1.47910941      0.113951974       6.93832478E-03   1.59999967    
  0.839999974       1.47892559      0.114130341       6.94374600E-03   1.59999967    
  0.849999964       1.47874153      0.114308961       6.94917655E-03   1.59999967    
  0.859999955       1.47855723      0.114487834       6.95461594E-03   1.59999979    
  0.870000005       1.47837269      0.114666961       6.96006417E-03   1.59999967    
  0.879999995       1.47818780      0.114846341       6.96552126E-03   1.59999967    
  0.889999986       1.47800267      0.115025975       6.97098766E-03   1.59999967    
  0.899999976       1.47781730      0.115205862       6.97646290E-03   1.59999967    
  0.909999967       1.47763169      0.115386009       6.98194699E-03   1.59999967    
  0.919999957       1.47744584      0.115566410       6.98744040E-03   1.59999967    
  0.930000007       1.47725964      0.115747064       6.99294219E-03   1.59999967    
  0.939999998       1.47707319      0.115927979       6.99845375E-03   1.59999955    
  0.949999988       1.47688651      0.116109148       7.00397417E-03   1.59999967    
  0.959999979       1.47669959      0.116290577       7.00950343E-03   1.59999967    
  0.969999969       1.47651231      0.116472259       7.01504201E-03   1.59999955    
  0.979999959       1.47632480      0.116654202       7.02058943E-03   1.59999955    
  0.989999950       1.47613704      0.116836399       7.02614617E-03   1.59999967    
   1.00000000       1.47594905      0.117018856       7.03171222E-03   1.59999955    
   1.00999999       1.47576082      0.117201567       7.03728711E-03   1.59999967    
   1.01999998       1.47557223      0.117384538       7.04287132E-03   1.59999967    
   1.02999997       1.47538340      0.117567770       7.04846438E-03   1.59999967    
   1.03999996       1.47519433      0.117751256       7.05406675E-03   1.59999967    
   1.04999995       1.47500503      0.117935002       7.05967844E-03   1.59999979    
   1.05999994       1.47481537      0.118119009       7.06529897E-03   1.59999967    
   1.06999993       1.47462547      0.118303277       7.07092928E-03   1.59999967    
   1.07999992       1.47443533      0.118487805       7.07656844E-03   1.59999979    
   1.09000003       1.47424495      0.118672594       7.08221691E-03   1.59999979    
   1.10000002       1.47405422      0.118857644       7.08787516E-03   1.59999967    
   1.11000001       1.47386324      0.119042955       7.09354226E-03   1.59999979    
   1.12000000       1.47367203      0.119228527       7.09921867E-03   1.59999979    
   1.13000000       1.47348046      0.119414359       7.10490439E-03   1.59999967    
   1.13999999       1.47328866      0.119600452       7.11059943E-03   1.59999967    
   1.14999998       1.47309661      0.119786806       7.11630378E-03   1.59999979    
   1.15999997       1.47290432      0.119973421       7.12201791E-03   1.59999979    
   1.16999996       1.47271168      0.120160297       7.12774135E-03   1.59999979    
   1.17999995       1.47251880      0.120347440       7.13347411E-03   1.59999967    
   1.18999994       1.47232568      0.120534845       7.13921618E-03   1.59999979    
   1.19999993       1.47213221      0.120722510       7.14496756E-03   1.59999967    
   1.20999992       1.47193849      0.120910443       7.15072826E-03   1.59999967    
   1.22000003       1.47174454      0.121098638       7.15649873E-03   1.59999967    
   1.23000002       1.47155035      0.121287093       7.16227852E-03   1.59999979    
   1.24000001       1.47135580      0.121475816       7.16806762E-03   1.59999967    
   1.25000000       1.47116101      0.121664800       7.17386650E-03   1.59999967    
   1.25999999       1.47096598      0.121854052       7.17967469E-03   1.59999967    
   1.26999998       1.47077060      0.122043572       7.18549266E-03   1.59999967    
   1.27999997       1.47057498      0.122233354       7.19131995E-03   1.59999967    
   1.28999996       1.47037911      0.122423403       7.19715655E-03   1.59999967    
   1.29999995       1.47018290      0.122613721       7.20300293E-03   1.59999955    
   1.30999994       1.46998644      0.122804299       7.20885908E-03   1.59999955    
   1.31999993       1.46978974      0.122995146       7.21472502E-03   1.59999967    
   1.32999992       1.46959281      0.123186260       7.22060027E-03   1.59999967    
   1.33999991       1.46939552      0.123377644       7.22648529E-03   1.59999967    
   1.35000002       1.46919799      0.123569295       7.23237963E-03   1.59999967    
   1.36000001       1.46900022      0.123761214       7.23828375E-03   1.59999967    
   1.37000000       1.46880209      0.123953402       7.24419765E-03   1.59999979    
   1.38000000       1.46860373      0.124145858       7.25012133E-03   1.59999967    
   1.38999999       1.46840513      0.124338582       7.25605432E-03   1.59999979    
   1.39999998       1.46820617      0.124531575       7.26199755E-03   1.59999979    
