 === NPZ Ecosistem model integration ====================================
  time            phytoplankton   zooplankton     nitrate         total_N
   9.99999978E-03   2.01612115       1.00213337      0.981745481       4.00000000    
   1.99999996E-02   2.03233933       1.00428689      0.963373840       4.00000000    
   2.99999993E-02   2.04865265       1.00646079      0.944886565       4.00000000    
   3.99999991E-02   2.06505966       1.00865507      0.926285386       4.00000000    
   4.99999970E-02   2.08155799       1.01086986      0.907572210       4.00000000    
   5.99999987E-02   2.09814572       1.01310515      0.888749063       4.00000000    
   7.00000003E-02   2.11482048       1.01536119      0.869818270       4.00000000    
   7.99999982E-02   2.13157964       1.01763797      0.850782394       4.00000000    
   8.99999961E-02   2.14842010       1.01993561      0.831644177       4.00000000    
   9.99999940E-02   2.16533899       1.02225423      0.812406719       4.00000000    
  0.109999999       2.18233275       1.02459383      0.793073416       4.00000000    
  0.119999997       2.19939733       1.02695465      0.773647964       4.00000000    
  0.129999995       2.21652889       1.02933657      0.754134417       3.99999976    
  0.140000001       2.23372269       1.03173983      0.734537244       3.99999952    
  0.149999991       2.25097394       1.03416443      0.714861333       3.99999976    
  0.159999996       2.26827717       1.03661048      0.695112050       3.99999976    
  0.170000002       2.28562641       1.03907800      0.675295293       3.99999976    
  0.179999992       2.30301523       1.04156709      0.655417442       3.99999976    
  0.189999998       2.32043648       1.04407775      0.635485530       4.00000000    
  0.199999988       2.33788252       1.04661000      0.615507245       3.99999952    
  0.209999993       2.35534477       1.04916394      0.595491052       3.99999952    
  0.219999999       2.37281394       1.05173957      0.575446129       3.99999952    
  0.229999989       2.39028001       1.05433702      0.555382669       3.99999976    
  0.239999995       2.40773177       1.05695629      0.535311759       3.99999976    
  0.250000000       2.42515683       1.05959725      0.515245557       3.99999952    
  0.259999990       2.44254208       1.06226003      0.495197445       3.99999976    
  0.269999981       2.45987272       1.06494462      0.475182086       3.99999952    
  0.280000001       2.47713280       1.06765103      0.455215573       3.99999952    
  0.289999992       2.49430466       1.07037914      0.435315639       3.99999952    
  0.299999982       2.51136875       1.07312894      0.415501744       3.99999952    
