 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
  0.100000001       2.98499991E-03   1.50000005E-05   3.00000003E-03
  0.200000003       2.97013763E-03   2.98623236E-05   3.00000003E-03
  0.300000012       2.95541110E-03   4.45888763E-05   3.00000003E-03
  0.400000006       2.94081843E-03   5.91815260E-05   3.00000003E-03
  0.500000000       2.92635779E-03   7.36421061E-05   2.99999979E-03
  0.600000024       2.91202753E-03   8.79724103E-05   3.00000003E-03
  0.699999988       2.89782579E-03   1.02174214E-04   3.00000003E-03
  0.800000012       2.88375071E-03   1.16249248E-04   3.00000003E-03
  0.900000036       2.86980066E-03   1.30199216E-04   2.99999979E-03
   1.00000000       2.85597402E-03   1.44025791E-04   2.99999979E-03
   1.10000002       2.84226914E-03   1.57730625E-04   2.99999979E-03
   1.20000005       2.82868440E-03   1.71315318E-04   2.99999979E-03
   1.30000007       2.81521818E-03   1.84781471E-04   2.99999956E-03
   1.39999998       2.80186906E-03   1.98130627E-04   2.99999979E-03
   1.50000000       2.78863544E-03   2.11364313E-04   2.99999979E-03
   1.60000002       2.77551566E-03   2.24484043E-04   2.99999979E-03
   1.70000005       2.76250835E-03   2.37491287E-04   2.99999956E-03
   1.80000007       2.74961209E-03   2.50387500E-04   2.99999956E-03
   1.89999998       2.73682550E-03   2.63174123E-04   2.99999956E-03
   2.00000000       2.72414717E-03   2.75852537E-04   2.99999979E-03
   2.10000014       2.71157548E-03   2.88424111E-04   2.99999956E-03
   2.20000005       2.69910926E-03   3.00890213E-04   2.99999956E-03
   2.29999995       2.68674735E-03   3.13252182E-04   2.99999956E-03
   2.40000010       2.67448812E-03   3.25511326E-04   2.99999956E-03
   2.50000000       2.66233063E-03   3.37668927E-04   2.99999956E-03
   2.60000014       2.65027327E-03   3.49726237E-04   2.99999956E-03
   2.70000005       2.63831508E-03   3.61684506E-04   2.99999956E-03
   2.79999995       2.62645469E-03   3.73544957E-04   2.99999956E-03
   2.90000010       2.61469092E-03   3.85308813E-04   2.99999979E-03
   3.00000000       2.60302261E-03   3.96977237E-04   2.99999979E-03
   3.10000014       2.59144837E-03   4.08551394E-04   2.99999979E-03
   3.20000005       2.57996726E-03   4.20032418E-04   2.99999956E-03
   3.29999995       2.56857811E-03   4.31421475E-04   2.99999956E-03
   3.40000010       2.55728001E-03   4.42719640E-04   2.99999956E-03
   3.50000000       2.54607154E-03   4.53927991E-04   2.99999956E-03
   3.60000014       2.53495201E-03   4.65047633E-04   2.99999956E-03
   3.70000005       2.52392003E-03   4.76079615E-04   2.99999956E-03
   3.79999995       2.51297466E-03   4.87024954E-04   2.99999956E-03
   3.90000010       2.50211498E-03   4.97884699E-04   2.99999956E-03
   4.00000000       2.49133981E-03   5.08659869E-04   2.99999956E-03
   4.09999990       2.48064823E-03   5.19351393E-04   2.99999956E-03
   4.20000029       2.47003930E-03   5.29960322E-04   2.99999956E-03
   4.30000019       2.45951209E-03   5.40487526E-04   2.99999956E-03
   4.40000010       2.44906568E-03   5.50933997E-04   2.99999956E-03
   4.50000000       2.43869890E-03   5.61300665E-04   2.99999956E-03
   4.59999990       2.42841104E-03   5.71588462E-04   2.99999956E-03
   4.70000029       2.41820118E-03   5.81798260E-04   2.99999956E-03
   4.80000019       2.40806839E-03   5.91930992E-04   2.99999933E-03
   4.90000010       2.39801197E-03   6.01987529E-04   2.99999956E-03
   5.00000000       2.38803076E-03   6.11968688E-04   2.99999956E-03
   5.09999990       2.37812405E-03   6.21875341E-04   2.99999933E-03
   5.20000029       2.36829114E-03   6.31708303E-04   2.99999956E-03
   5.30000019       2.35853111E-03   6.41468388E-04   2.99999956E-03
   5.40000010       2.34884303E-03   6.51156472E-04   2.99999956E-03
   5.50000000       2.33922619E-03   6.60773308E-04   2.99999956E-03
   5.59999990       2.32967990E-03   6.70319656E-04   2.99999956E-03
   5.70000029       2.32020323E-03   6.79796329E-04   2.99999956E-03
   5.80000019       2.31079548E-03   6.89204084E-04   2.99999956E-03
   5.90000010       2.30145594E-03   6.98543678E-04   2.99999956E-03
   6.00000000       2.29218369E-03   7.07815809E-04   2.99999956E-03
   6.09999990       2.28297827E-03   7.17021292E-04   2.99999956E-03
   6.20000029       2.27383873E-03   7.26160768E-04   2.99999956E-03
   6.30000019       2.26476463E-03   7.35234993E-04   2.99999956E-03
   6.40000010       2.25575501E-03   7.44244666E-04   2.99999956E-03
   6.50000000       2.24680919E-03   7.53190427E-04   2.99999956E-03
   6.59999990       2.23792670E-03   7.62072974E-04   2.99999956E-03
   6.70000029       2.22910661E-03   7.70893006E-04   2.99999956E-03
   6.80000019       2.22034846E-03   7.79651164E-04   2.99999956E-03
   6.90000010       2.21165153E-03   7.88348145E-04   2.99999956E-03
   7.00000000       2.20301514E-03   7.96984532E-04   2.99999956E-03
   7.09999990       2.19443860E-03   8.05560965E-04   2.99999956E-03
   7.20000029       2.18592142E-03   8.14078085E-04   2.99999956E-03
   7.30000019       2.17746291E-03   8.22536473E-04   2.99999933E-03
   7.40000010       2.16906262E-03   8.30936769E-04   2.99999933E-03
   7.50000000       2.16071983E-03   8.39279557E-04   2.99999933E-03
   7.59999990       2.15243385E-03   8.47565476E-04   2.99999933E-03
   7.70000029       2.14420422E-03   8.55795050E-04   2.99999933E-03
   7.80000019       2.13603047E-03   8.63968860E-04   2.99999933E-03
   7.90000010       2.12791190E-03   8.72087490E-04   2.99999933E-03
   8.00000000       2.11984781E-03   8.80151521E-04   2.99999933E-03
   8.10000038       2.11183797E-03   8.88161478E-04   2.99999956E-03
   8.19999981       2.10388168E-03   8.96117883E-04   2.99999956E-03
   8.30000019       2.09597824E-03   9.04021261E-04   2.99999956E-03
   8.40000057       2.08812742E-03   9.11872194E-04   2.99999956E-03
   8.50000000       2.08032853E-03   9.19671147E-04   2.99999956E-03
   8.60000038       2.07258109E-03   9.27418703E-04   2.99999979E-03
   8.69999981       2.06488441E-03   9.35115328E-04   2.99999979E-03
   8.80000019       2.05723825E-03   9.42761544E-04   2.99999979E-03
   8.90000057       2.04964192E-03   9.50357819E-04   2.99999979E-03
   9.00000000       2.04209518E-03   9.57904675E-04   2.99999979E-03
   9.10000038       2.03459733E-03   9.65402578E-04   3.00000003E-03
   9.19999981       2.02714792E-03   9.72851994E-04   3.00000003E-03
   9.30000019       2.01974646E-03   9.80253331E-04   2.99999979E-03
   9.40000057       2.01239274E-03   9.87607171E-04   3.00000003E-03
   9.50000000       2.00508605E-03   9.94913862E-04   3.00000003E-03
   9.60000038       1.99782592E-03   1.00217399E-03   3.00000003E-03
   9.69999981       1.99061213E-03   1.00938790E-03   3.00000003E-03
   9.80000019       1.98344397E-03   1.01655605E-03   3.00000003E-03
   9.90000057       1.97632122E-03   1.02367892E-03   3.00000003E-03
   10.0000000       1.96924317E-03   1.03075686E-03   3.00000003E-03
   10.1000004       1.96220959E-03   1.03779032E-03   3.00000003E-03
   10.1999998       1.95522024E-03   1.04477978E-03   3.00000003E-03
   10.3000002       1.94827444E-03   1.05172559E-03   3.00000003E-03
   10.4000006       1.94137183E-03   1.05862820E-03   3.00000003E-03
   10.5000000       1.93451205E-03   1.06548797E-03   3.00000003E-03
   10.6000004       1.92769477E-03   1.07230525E-03   3.00000003E-03
   10.6999998       1.92091952E-03   1.07908051E-03   3.00000003E-03
   10.8000002       1.91418594E-03   1.08581409E-03   3.00000003E-03
