 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
  0.100000001       9.94999986E-03   5.00000024E-05   9.99999978E-03
  0.200000003       9.90094617E-03   9.90538538E-05   9.99999978E-03
  0.300000012       9.85281356E-03   1.47186918E-04   1.00000007E-02
  0.400000006       9.80557688E-03   1.94423686E-04   1.00000007E-02
  0.500000000       9.75921284E-03   2.40787747E-04   1.00000007E-02
  0.600000024       9.71369911E-03   2.86301860E-04   1.00000007E-02
  0.699999988       9.66901332E-03   3.30987998E-04   1.00000016E-02
  0.800000012       9.62513406E-03   3.74867377E-04   1.00000016E-02
  0.900000036       9.58204083E-03   4.17960517E-04   1.00000016E-02
   1.00000000       9.53971408E-03   4.60287178E-04   1.00000016E-02
   1.10000002       9.49813519E-03   5.01866511E-04   1.00000016E-02
   1.20000005       9.45728458E-03   5.42716996E-04   1.00000016E-02
   1.30000007       9.41714551E-03   5.82856534E-04   1.00000016E-02
   1.39999998       9.37769935E-03   6.22302410E-04   1.00000016E-02
   1.50000000       9.33893025E-03   6.61071390E-04   1.00000016E-02
   1.60000002       9.30082239E-03   6.99179596E-04   1.00000016E-02
   1.70000005       9.26335901E-03   7.36642804E-04   1.00000016E-02
   1.80000007       9.22652520E-03   7.73476146E-04   1.00000016E-02
   1.89999998       9.19030700E-03   8.09694349E-04   1.00000016E-02
   2.00000000       9.15468950E-03   8.45311675E-04   1.00000016E-02
   2.10000014       9.11965966E-03   8.80341919E-04   1.00000016E-02
   2.20000005       9.08520352E-03   9.14798526E-04   1.00000016E-02
   2.29999995       9.05130804E-03   9.48694418E-04   1.00000026E-02
   2.40000010       9.01796017E-03   9.82042286E-04   1.00000026E-02
   2.50000000       8.98514781E-03   1.01485429E-03   1.00000016E-02
   2.60000014       8.95285979E-03   1.04714220E-03   1.00000016E-02
   2.70000005       8.92108399E-03   1.07891764E-03   1.00000016E-02
   2.79999995       8.88981018E-03   1.11019169E-03   1.00000016E-02
   2.90000010       8.85902625E-03   1.14097528E-03   1.00000016E-02
   3.00000000       8.82872287E-03   1.17127900E-03   1.00000016E-02
   3.10000014       8.79888888E-03   1.20111299E-03   1.00000016E-02
   3.20000005       8.76951497E-03   1.23048725E-03   1.00000026E-02
   3.29999995       8.74059089E-03   1.25941134E-03   1.00000026E-02
   3.40000010       8.71210732E-03   1.28789479E-03   1.00000016E-02
   3.50000000       8.68405588E-03   1.31594669E-03   1.00000026E-02
   3.60000014       8.65642633E-03   1.34357589E-03   1.00000026E-02
   3.70000005       8.62921122E-03   1.37079111E-03   1.00000026E-02
   3.79999995       8.60240124E-03   1.39760075E-03   1.00000016E-02
   3.90000010       8.57598893E-03   1.42401294E-03   1.00000016E-02
   4.00000000       8.54996592E-03   1.45003572E-03   1.00000016E-02
   4.09999990       8.52432474E-03   1.47567678E-03   1.00000016E-02
   4.20000029       8.49905796E-03   1.50094368E-03   1.00000016E-02
   4.30000019       8.47415812E-03   1.52584387E-03   1.00000016E-02
   4.40000010       8.44961777E-03   1.55038433E-03   1.00000016E-02
   4.50000000       8.42542946E-03   1.57457218E-03   1.00000016E-02
   4.59999990       8.40158761E-03   1.59841427E-03   1.00000016E-02
   4.70000029       8.37808475E-03   1.62191712E-03   1.00000016E-02
   4.80000019       8.35491437E-03   1.64508715E-03   1.00000016E-02
   4.90000010       8.33207089E-03   1.66793074E-03   1.00000016E-02
   5.00000000       8.30954779E-03   1.69045408E-03   1.00000016E-02
   5.09999990       8.28733854E-03   1.71266310E-03   1.00000016E-02
   5.20000029       8.26543849E-03   1.73456362E-03   1.00000016E-02
   5.30000019       8.24384112E-03   1.75616133E-03   1.00000026E-02
   5.40000010       8.22254084E-03   1.77746185E-03   1.00000026E-02
   5.50000000       8.20153207E-03   1.79847050E-03   1.00000026E-02
   5.59999990       8.18081014E-03   1.81919266E-03   1.00000026E-02
   5.70000029       8.16036947E-03   1.83963357E-03   1.00000035E-02
   5.80000019       8.14020447E-03   1.85979810E-03   1.00000026E-02
   5.90000010       8.12031142E-03   1.87969126E-03   1.00000026E-02
   6.00000000       8.10068473E-03   1.89931795E-03   1.00000026E-02
   6.09999990       8.08131974E-03   1.91868283E-03   1.00000026E-02
   6.20000029       8.06221180E-03   1.93779042E-03   1.00000026E-02
   6.30000019       8.04335717E-03   1.95664517E-03   1.00000026E-02
   6.40000010       8.02475028E-03   1.97525159E-03   1.00000016E-02
   6.50000000       8.00638832E-03   1.99361402E-03   1.00000026E-02
