 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
  0.100000001       2.98499987E-02   1.50000007E-04   2.99999993E-02
  0.200000003       2.97070071E-02   2.92990881E-04   2.99999975E-02
  0.300000012       2.95706224E-02   4.29376087E-04   2.99999993E-02
  0.400000006       2.94404682E-02   5.59529522E-04   2.99999975E-02
  0.500000000       2.93161999E-02   6.83798222E-04   2.99999975E-02
  0.600000024       2.91974936E-02   8.02504888E-04   2.99999993E-02
  0.699999988       2.90840492E-02   9.15949931E-04   2.99999993E-02
  0.800000012       2.89755855E-02   1.02441339E-03   2.99999993E-02
  0.900000036       2.88718417E-02   1.12815655E-03   2.99999975E-02
   1.00000000       2.87725739E-02   1.22742378E-03   2.99999975E-02
   1.10000002       2.86775548E-02   1.32244360E-03   2.99999975E-02
   1.20000005       2.85865683E-02   1.41343009E-03   2.99999975E-02
   1.30000007       2.84994151E-02   1.50058419E-03   2.99999993E-02
   1.39999998       2.84159053E-02   1.58409437E-03   2.99999993E-02
   1.50000000       2.83358619E-02   1.66413770E-03   2.99999993E-02
   1.60000002       2.82591190E-02   1.74088101E-03   2.99999993E-02
   1.70000005       2.81855185E-02   1.81448099E-03   2.99999993E-02
   1.80000007       2.81149130E-02   1.88508572E-03   2.99999993E-02
   1.89999998       2.80471649E-02   1.95283443E-03   2.99999993E-02
   2.00000000       2.79821400E-02   2.01785890E-03   2.99999993E-02
   2.10000014       2.79197153E-02   2.08028359E-03   2.99999993E-02
   2.20000005       2.78597735E-02   2.14022584E-03   2.99999993E-02
   2.29999995       2.78022029E-02   2.19779718E-03   2.99999993E-02
   2.40000010       2.77468972E-02   2.25310284E-03   2.99999993E-02
   2.50000000       2.76937578E-02   2.30624271E-03   3.00000012E-02
   2.60000014       2.76426896E-02   2.35731131E-03   3.00000012E-02
   2.70000005       2.75936034E-02   2.40639830E-03   3.00000012E-02
   2.79999995       2.75464132E-02   2.45358911E-03   3.00000031E-02
   2.90000010       2.75010373E-02   2.49896455E-03   3.00000012E-02
   3.00000000       2.74573993E-02   2.54260167E-03   3.00000012E-02
   3.10000014       2.74154264E-02   2.58457358E-03   2.99999993E-02
   3.20000005       2.73750499E-02   2.62494991E-03   2.99999993E-02
   3.29999995       2.73362026E-02   2.66379700E-03   2.99999993E-02
   3.40000010       2.72988211E-02   2.70117773E-03   2.99999993E-02
   3.50000000       2.72628460E-02   2.73715239E-03   2.99999975E-02
   3.60000014       2.72282194E-02   2.77177850E-03   2.99999975E-02
   3.70000005       2.71948874E-02   2.80511030E-03   2.99999975E-02
   3.79999995       2.71627977E-02   2.83720018E-03   2.99999975E-02
   3.90000010       2.71319002E-02   2.86809797E-03   2.99999975E-02
   4.00000000       2.71021463E-02   2.89785117E-03   2.99999975E-02
   4.09999990       2.70734914E-02   2.92650517E-03   2.99999975E-02
   4.20000029       2.70458926E-02   2.95410352E-03   2.99999956E-02
   4.30000019       2.70193089E-02   2.98068766E-03   2.99999975E-02
   4.40000010       2.69936994E-02   3.00629716E-03   2.99999975E-02
   4.50000000       2.69690268E-02   3.03096999E-03   2.99999975E-02
   4.59999990       2.69452538E-02   3.05474247E-03   2.99999956E-02
   4.70000029       2.69223470E-02   3.07764951E-03   2.99999975E-02
   4.80000019       2.69002728E-02   3.09972418E-03   2.99999975E-02
   4.90000010       2.68789977E-02   3.12099839E-03   2.99999956E-02
   5.00000000       2.68584937E-02   3.14150285E-03   2.99999975E-02
   5.09999990       2.68387292E-02   3.16126668E-03   2.99999956E-02
   5.20000029       2.68196780E-02   3.18031805E-03   2.99999956E-02
   5.30000019       2.68013123E-02   3.19868396E-03   2.99999956E-02
   5.40000010       2.67836060E-02   3.21639003E-03   2.99999956E-02
   5.50000000       2.67665349E-02   3.23346118E-03   2.99999956E-02
   5.59999990       2.67500747E-02   3.24992114E-03   2.99999956E-02
   5.70000029       2.67342031E-02   3.26579250E-03   2.99999956E-02
   5.80000019       2.67188977E-02   3.28109739E-03   2.99999956E-02
   5.90000010       2.67041381E-02   3.29585676E-03   2.99999956E-02
   6.00000000       2.66899038E-02   3.31009086E-03   2.99999937E-02
   6.09999990       2.66761761E-02   3.32381879E-03   2.99999956E-02
   6.20000029       2.66629346E-02   3.33705940E-03   2.99999937E-02
